Custom-classification-lr-SGD/pg1,Custom-classification-lr-SGD/pg2,step,Custom-classification-train_loss,Custom-classification-epoch,Custom-classification-valid_mac_acc,Custom-classification-valid_mic_acc
,,3439,0.3800968825817108,13,,
0.001,0.001,3449,,,,
,,3449,0.3035484850406647,13,,
,,3457,,13,91.24620892284263,93.9689418562658
0.001,0.001,3459,,,,
,,3459,0.40415021777153015,14,,
0.001,0.001,3469,,,,
,,3469,0.4635457694530487,14,,
0.001,0.001,3479,,,,
,,3479,0.5224218964576721,14,,
0.001,0.001,3489,,,,
,,3489,0.33091577887535095,14,,
0.001,0.001,3499,,,,
,,3499,0.5340138673782349,14,,
0.001,0.001,3509,,,,
,,3509,0.44570234417915344,14,,
0.001,0.001,3519,,,,
,,3519,0.25255581736564636,14,,
0.001,0.001,3529,,,,
,,3529,0.3581341505050659,14,,
0.001,0.001,3539,,,,
,,3539,0.30124029517173767,14,,
0.001,0.001,3549,,,,
,,3549,0.4274868369102478,14,,
0.001,0.001,3559,,,,
,,3559,0.3692321479320526,14,,
0.001,0.001,3569,,,,
,,3569,0.3882877826690674,14,,
0.001,0.001,3579,,,,
,,3579,0.379528671503067,14,,
0.001,0.001,3589,,,,
,,3589,0.3248395621776581,14,,
0.001,0.001,3599,,,,
,,3599,0.43975913524627686,14,,
0.001,0.001,3609,,,,
,,3609,0.3544657826423645,14,,
0.001,0.001,3619,,,,
,,3619,0.3489423394203186,14,,
0.001,0.001,3629,,,,
,,3629,0.25214025378227234,14,,
0.001,0.001,3639,,,,
,,3639,0.44787245988845825,14,,
0.001,0.001,3649,,,,
,,3649,0.36704114079475403,14,,
0.001,0.001,3659,,,,
,,3659,0.4292563498020172,14,,
0.001,0.001,3669,,,,
,,3669,0.27420157194137573,14,,
0.001,0.001,3679,,,,
,,3679,0.3111478090286255,14,,
0.001,0.001,3689,,,,
,,3689,0.374111533164978,14,,
0.001,0.001,3699,,,,
,,3699,0.3614962100982666,14,,
,,3704,,14,91.38473645130308,94.04117009750813
